environment,condition,metric,source,n_runs,mean,std,min,max,q25,median,q75,mean_normalised,median_normalised,std_normalised
baseline,pure_rl,peak_population,gen,100,471.5616000000001,16.63659971086021,425.76,510.6,458.565,473.65,480.28499999999997,,,
baseline,pure_rl,avg_lifetime,gen,100,2077.8801200000003,21.32559749102218,2039.95,2134.3140000000003,2061.7485,2075.625,2091.8095000000003,,,
baseline,pure_rl,cells_visited,behaviour,100,933.7279935747333,30.580047287060427,860.3916688677508,1005.7905725820711,911.6741368763761,929.5301993422145,955.6043797193536,,,
baseline,pure_rl,predator_touches,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,pure_rl,drained_ticks,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,pure_rl,cave_entries,behaviour,100,1.8050571639943964,0.5132659077955994,0.7006783943484476,3.3762263278468847,1.484796767286527,1.787690108349128,2.1350389538544805,,,
baseline,pure_rl,cave_entries_night,behaviour,100,0.9240446068513206,0.2635983138651592,0.35178909170824757,1.7683942354700104,0.763197029286234,0.8991745111219809,1.0877155721643157,,,
baseline,pure_rl,food_prestige,behaviour,100,1.617242611400355,0.06985333206470969,1.4385849633800973,1.7963106018375814,1.5704490770408874,1.6165164227910094,1.665924850436883,,,
baseline,pure_rl,food_low,behaviour,100,2.7144350036688007,0.19230509903540052,2.13939825249665,3.0395432035056342,2.5796984994651746,2.727778276486178,2.8546379550655736,,,
baseline,pure_rl,energy_at_death,behaviour,100,3.697871844020526,0.5157855716829611,2.0767154197911752,4.869089170073665,3.391603189916025,3.7057433311464933,4.018837738516976,,,
baseline,pure_rl,frac_death_drained,behaviour,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
baseline,pure_rl,frac_death_starved,behaviour,100,0.9446947156550651,0.004845875323789731,0.9344021648886064,0.9641515874819424,0.94071322431636,0.9446943943991837,0.9473222430921748,,,
hard,evolution,avg_fitness,gen,100,6.6537054,1.0174127454389474,3.599614,7.245498000000001,6.930917,7.06008,7.138202999999999,0.7410165999829743,0.7904364640212089,0.12372918866080669
hard,evolution,top20percent_fitness,gen,100,19.009061159999998,2.2021576615455882,12.369540000000002,20.619104000000004,19.329316,19.947269,20.191877499999997,0.7421262735484884,0.7830494065715494,0.09605461293222957
hard,evolution,best_fitness,gen,100,53.128624,8.730734508320117,27.598000000000003,62.2334,54.2834,56.331199999999995,58.134299999999996,0.41185580082987555,0.43843319502074685,0.07245422828481425
hard,evolution,avg_learned_weight_diff,gen,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
hard,evolution,avg_network_weight_mag,gen,100,0.59986434,0.015095116644448134,0.5563319999999999,0.6138800000000001,0.5961075,0.60592,0.6101525,,,
hard,evolution,genome_variance,gen,100,0.040538615599999966,0.007548528496304421,0.01752202,0.04878686,0.039262259999999896,0.04389932999999995,0.045218935,,,
hard,evolution,total_agents,gen,100,1130.9766,365.96754631248353,203.88,1367.16,1210.6000000000001,1295.81,1332.725,,,
hard,evolution,peak_population,gen,100,427.8213999999999,102.95311826086845,185.82,502.96,443.685,476.84000000000003,490.03499999999997,,,
