condition,metric,label,baseline_hidden,hidden_size,mean_baseline,mean_arm,std_baseline,std_arm,diff,pct_change,mannwhitney_p,cliffs_delta,n_baseline,n_arm,final_frac
learning,cave_entries,Cave entries / organism,64,128,1.6862565080505596,1.4422594947658127,0.5282423854169657,0.2904618499004572,-0.24399701328474688,-14.469744793858553,0.02792505735330741,-0.47555555555555556,15,15,0.2
learning,food_total,Food eaten / organism,64,128,7.259302894837824,7.472532674748397,0.8269746468067531,0.05519601419418918,0.21322977991057268,2.9373313526041582,0.9669147771731937,0.013333333333333334,15,15,0.2
pure_rl,avg_fitness,Mean average fitness,64,32,6.214627333333334,6.099436033333332,0.330547039176709,0.18378658314600194,-0.115191300000002,-1.8535512078439775,0.28084201086629834,-0.23555555555555555,15,15,0.2
pure_rl,top20percent_fitness,Top-20% fitness,64,32,17.5140191,17.322520933333333,0.735442820446594,0.4661702497900622,-0.19149816666666553,-1.0933993252677539,0.506914933812496,-0.14666666666666667,15,15,0.2
pure_rl,peak_population,Peak population,64,32,295.0026666666667,259.356,58.297833889624265,30.889725109384404,-35.646666666666704,-12.083506589770952,0.10573920209087935,-0.3511111111111111,15,15,0.2
pure_rl,total_agents,Total agents,64,32,753.7026666666665,655.1550000000001,168.9628653764555,93.32093121767127,-98.54766666666637,-13.075138383482752,0.14657603430900065,-0.31555555555555553,15,15,0.2
pure_rl,avg_lifetime,Mean lifetime (ticks),64,32,1606.7291666666667,1591.5055333333332,75.5859055412376,59.68255719875135,-15.22363333333351,-0.9474921878039086,0.43064798984807773,-0.17333333333333334,15,15,0.2
pure_rl,lifetime_p90,p90 lifetime (ticks),64,32,2168.1101000000003,2152.018866666667,74.1877391164245,83.79076867978291,-16.091233333333548,-0.7421778687961256,0.38373262766250305,-0.19111111111111112,15,15,0.2
pure_rl,survived_frac,Survived to window close,64,32,0.01606206161517007,0.012705587171067489,0.006730714523906901,0.0035452825654718636,-0.003356474444102581,-20.89690927927026,0.08901797772326323,-0.3688888888888889,15,15,0.2
pure_rl,avg_learned_weight_diff,Learned weight diff (MAD),64,32,0.0073397846666666666,0.009910305666666668,0.0006071342565486556,0.000727998834765246,0.002570521000000001,35.02174950273293,4.143220097537536e-06,0.9911111111111112,15,15,0.2
pure_rl,genome_variance,Genomic variance,64,32,0.023491118666666665,0.02243450433333333,0.008298269603994653,0.016442706397715664,-0.001056614333333334,-4.497931104629106,0.17106923105635186,-0.29777777777777775,15,15,0.2
