condition,hidden_size,unit,metric,value
evolution,64,seed999_r4,genome_variance,0.027413295
evolution,64,seed999_r4,cells_visited,422.0595706680544
evolution,64,seed999_r4,cave_entries,0.14195215940804645
evolution,64,seed999_r4,food_total,4.8480498068834335
evolution,64,seed999_r5,avg_fitness,3.5530245000000003
evolution,64,seed999_r5,top20percent_fitness,12.712739499999998
evolution,64,seed999_r5,peak_population,188.54
evolution,64,seed999_r5,total_agents,198.985
evolution,64,seed999_r5,avg_lifetime,843.9885
evolution,64,seed999_r5,lifetime_p90,1383.4525
evolution,64,seed999_r5,survived_frac,0.0
evolution,64,seed999_r5,avg_learned_weight_diff,0.0
evolution,64,seed999_r5,genome_variance,0.025392
evolution,64,seed999_r5,cells_visited,403.1793680620701
evolution,64,seed999_r5,cave_entries,0.24081054680340117
evolution,64,seed999_r5,food_total,4.220217135419567
evolution,128,seed1_r1,avg_fitness,6.504327000000001
evolution,128,seed1_r1,top20percent_fitness,18.378492
evolution,128,seed1_r1,peak_population,333.435
evolution,128,seed1_r1,total_agents,909.96
evolution,128,seed1_r1,avg_lifetime,1483.606
evolution,128,seed1_r1,lifetime_p90,2134.2875
evolution,128,seed1_r1,survived_frac,0.009372246288923138
evolution,128,seed1_r1,avg_learned_weight_diff,0.0
evolution,128,seed1_r1,genome_variance,0.033534875
evolution,128,seed1_r1,cells_visited,696.1557959085293
evolution,128,seed1_r1,cave_entries,1.8951005285494613
evolution,128,seed1_r1,food_total,6.898430181729623
evolution,128,seed1_r2,avg_fitness,3.4809224999999997
evolution,128,seed1_r2,top20percent_fitness,12.673805499999999
evolution,128,seed1_r2,peak_population,188.555
evolution,128,seed1_r2,total_agents,196.14
evolution,128,seed1_r2,avg_lifetime,842.859
evolution,128,seed1_r2,lifetime_p90,1398.9845
evolution,128,seed1_r2,survived_frac,0.0
evolution,128,seed1_r2,avg_learned_weight_diff,0.0
evolution,128,seed1_r2,genome_variance,0.02671633
evolution,128,seed1_r2,cells_visited,396.14093244062934
evolution,128,seed1_r2,cave_entries,0.1981174305024053
evolution,128,seed1_r2,food_total,4.371233741573733
evolution,128,seed1_r3,avg_fitness,6.969704500000001
evolution,128,seed1_r3,top20percent_fitness,19.7054235
evolution,128,seed1_r3,peak_population,452.225
evolution,128,seed1_r3,total_agents,1267.355
evolution,128,seed1_r3,avg_lifetime,1496.5269999999998
evolution,128,seed1_r3,lifetime_p90,2078.57
evolution,128,seed1_r3,survived_frac,0.013883617711029007
evolution,128,seed1_r3,avg_learned_weight_diff,0.0
evolution,128,seed1_r3,genome_variance,0.040785855
evolution,128,seed1_r3,cells_visited,782.5813588594601
evolution,128,seed1_r3,cave_entries,0.7550099043966128
evolution,128,seed1_r3,food_total,7.382569644132484
evolution,128,seed1_r4,avg_fitness,7.174215
evolution,128,seed1_r4,top20percent_fitness,20.2365
evolution,128,seed1_r4,peak_population,487.965
evolution,128,seed1_r4,total_agents,1330.185
evolution,128,seed1_r4,avg_lifetime,1670.0625
evolution,128,seed1_r4,lifetime_p90,2194.292
evolution,128,seed1_r4,survived_frac,0.02492131602617894
evolution,128,seed1_r4,avg_learned_weight_diff,0.0
evolution,128,seed1_r4,genome_variance,0.043071625
evolution,128,seed1_r4,cells_visited,825.3764904241223
evolution,128,seed1_r4,cave_entries,1.6370395965658278
evolution,128,seed1_r4,food_total,7.464931709131391
evolution,128,seed1_r5,avg_fitness,4.1982675
evolution,128,seed1_r5,top20percent_fitness,13.884737
evolution,128,seed1_r5,peak_population,187.195
evolution,128,seed1_r5,total_agents,253.605
evolution,128,seed1_r5,avg_lifetime,1060.3515
evolution,128,seed1_r5,lifetime_p90,2131.9675
evolution,128,seed1_r5,survived_frac,0.0
evolution,128,seed1_r5,avg_learned_weight_diff,0.0
evolution,128,seed1_r5,genome_variance,0.020789879999999997
