panel,fraction,seed,rep,run,n_gens,avg_fitness
0.05,0.6,42,8,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r8,1000,3.642726
0.05,0.6,42,9,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r9,1000,6.853798
0.05,0.6,42,10,roam60d5_10r_evo_cull0.6_rec0.05_seed42_r10,1000,7.180816
0.05,0.6,999,1,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r1,1000,3.6736459999999993
0.05,0.6,999,2,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r2,1000,6.230788000000001
0.05,0.6,999,3,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r3,1000,3.5374899999999996
0.05,0.6,999,4,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r4,1000,3.6244140000000002
0.05,0.6,999,5,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r5,1000,6.955484
0.05,0.6,999,6,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r6,1000,6.9839959999999985
0.05,0.6,999,7,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r7,1000,6.327400000000001
0.05,0.6,999,8,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r8,1000,7.184267999999999
0.05,0.6,999,9,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r9,1000,6.942568
0.05,0.6,999,10,roam60d5_10r_evo_cull0.6_rec0.05_seed999_r10,1000,3.679658
0.10,0.2,1,1,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r1,1000,7.138658
0.10,0.2,1,2,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r2,1000,7.1018740000000005
0.10,0.2,1,3,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r3,1000,7.166722000000001
0.10,0.2,1,4,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r4,1000,6.832628000000001
0.10,0.2,1,5,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r5,1000,3.842048
0.10,0.2,1,6,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r6,1000,3.8351859999999998
0.10,0.2,1,7,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r7,1000,5.52597
0.10,0.2,1,8,roam60d5_10r_evo_cull0.2_rec0.10_seed1_r8,1000,3.891102
