collapse_buffer,unit,metric,value
100,seed42_r4,top20percent_fitness,17.788
100,seed42_r4,peak_population,286.945
100,seed42_r4,avg_lifetime,1595.4584999999997
100,seed42_r4,avg_learned_weight_diff,0.007714385000000001
100,seed42_r4,genome_variance,0.01936107
100,seed42_r4,collapse,0.07
100,seed42_r4,respawned,84.675
100,seed42_r4,cells_visited,739.9693079921427
100,seed42_r4,cave_entries,1.793443089446044
100,seed42_r4,night_share,0.5084209080265092
100,seed42_r4,food_total,6.818695343657673
100,seed42_r5,avg_fitness,6.053008500000001
100,seed42_r5,top20percent_fitness,16.759928
100,seed42_r5,peak_population,256.83
100,seed42_r5,avg_lifetime,1637.0745000000002
100,seed42_r5,avg_learned_weight_diff,0.00584675
100,seed42_r5,genome_variance,0.02276123
100,seed42_r5,collapse,0.165
100,seed42_r5,respawned,90.08
100,seed42_r5,cells_visited,724.8492587048571
100,seed42_r5,cave_entries,1.615133071830953
100,seed42_r5,night_share,0.5041925824115734
100,seed42_r5,food_total,6.655889949236711
100,seed999_r1,avg_fitness,6.603257999999999
100,seed999_r1,top20percent_fitness,18.3688895
100,seed999_r1,peak_population,373.935
100,seed999_r1,avg_lifetime,1670.1970000000001
100,seed999_r1,avg_learned_weight_diff,0.0082988
100,seed999_r1,genome_variance,0.023848965
100,seed999_r1,collapse,0.02
100,seed999_r1,respawned,76.44
100,seed999_r1,cells_visited,807.4655922568646
100,seed999_r1,cave_entries,1.872176830299516
100,seed999_r1,night_share,0.5013739220573644
100,seed999_r1,food_total,7.319857125732512
100,seed999_r2,avg_fitness,6.477298000000001
100,seed999_r2,top20percent_fitness,17.913052500000003
100,seed999_r2,peak_population,347.43
100,seed999_r2,avg_lifetime,1684.6369999999997
100,seed999_r2,avg_learned_weight_diff,0.007811175
100,seed999_r2,genome_variance,0.016472195000000002
100,seed999_r2,collapse,0.045
100,seed999_r2,respawned,82.085
100,seed999_r2,cells_visited,819.9581727295799
100,seed999_r2,cave_entries,1.9661950220692892
100,seed999_r2,night_share,0.504217785641509
100,seed999_r2,food_total,6.99435598629836
100,seed999_r3,avg_fitness,6.4859925
100,seed999_r3,top20percent_fitness,18.154994
100,seed999_r3,peak_population,344.005
100,seed999_r3,avg_lifetime,1704.783
100,seed999_r3,avg_learned_weight_diff,0.00781679
100,seed999_r3,genome_variance,0.021726774999999997
100,seed999_r3,collapse,0.025
100,seed999_r3,respawned,78.775
100,seed999_r3,cells_visited,763.4917592261181
100,seed999_r3,cave_entries,2.0226595568065546
100,seed999_r3,night_share,0.5027874036444867
100,seed999_r3,food_total,7.034608129306548
100,seed999_r4,avg_fitness,6.053359
100,seed999_r4,top20percent_fitness,16.718025
100,seed999_r4,peak_population,268.79
100,seed999_r4,avg_lifetime,1612.3335
100,seed999_r4,avg_learned_weight_diff,0.007304875
100,seed999_r4,genome_variance,0.017677325
100,seed999_r4,collapse,0.155
100,seed999_r4,respawned,90.195
100,seed999_r4,cells_visited,789.5073513095521
100,seed999_r4,cave_entries,1.1775237010268813
100,seed999_r4,night_share,0.4925437947478859
100,seed999_r4,food_total,7.182863494340632
100,seed999_r5,avg_fitness,6.275895499999999
100,seed999_r5,top20percent_fitness,17.5578805
100,seed999_r5,peak_population,292.13
100,seed999_r5,avg_lifetime,1568.1529999999998
100,seed999_r5,avg_learned_weight_diff,0.007983505
100,seed999_r5,genome_variance,0.018338840000000002
100,seed999_r5,collapse,0.175
100,seed999_r5,respawned,91.01
100,seed999_r5,cells_visited,758.0218068564287
100,seed999_r5,cave_entries,1.3068018798259586
100,seed999_r5,night_share,0.5044307919048447
100,seed999_r5,food_total,6.90472852454922
