timestamp_ms,source,message,data
1622374,GA,Gen 79 | 335 agents | tournament k=2 → 100 offspring,
1622399,GA,Gen 81 started | 100 founders | RL=true,
1631496,GA,Gen 81 -> starting Map 2/5,
1637654,GA,Gen 81 -> starting Map 3/5,
1640760,GA,Gen 81 -> starting Map 4/5,
1642184,GA,Gen 81 -> starting Map 5/5,
1643455,GA,Gen 80 | 341 agents | tournament k=2 → 100 offspring,
1643481,GA,Gen 82 started | 100 founders | RL=true,
1655628,GA,Gen 82 -> starting Map 2/5,
1666574,GA,Gen 82 -> starting Map 3/5,
1673343,GA,Gen 82 -> starting Map 4/5,
1676061,GA,Gen 82 -> starting Map 5/5,
1676704,GA,Gen 81 | 576 agents | tournament k=2 → 100 offspring,
1676730,GA,Gen 83 started | 100 founders | RL=true,
1688143,GA,Gen 83 -> starting Map 2/5,
1692401,GA,Gen 83 -> starting Map 3/5,
1693941,GA,Gen 83 -> starting Map 4/5,
1695334,GA,Gen 83 -> starting Map 5/5,
1696196,GA,Gen 82 | 321 agents | tournament k=2 → 100 offspring,
1696222,GA,Gen 84 started | 100 founders | RL=true,
1705327,GA,Gen 84 -> starting Map 2/5,
1711392,GA,Gen 84 -> starting Map 3/5,
1714455,GA,Gen 84 -> starting Map 4/5,
1715831,GA,Gen 84 -> starting Map 5/5,
1716591,GA,Gen 83 | 322 agents | tournament k=2 → 100 offspring,
1716616,GA,Gen 85 started | 100 founders | RL=true,
1729971,GA,Gen 85 -> starting Map 2/5,
1741745,GA,Gen 85 -> starting Map 3/5,
1746612,GA,Gen 85 -> starting Map 4/5,
1749071,GA,Gen 85 -> starting Map 5/5,
1750331,GA,Gen 84 | 582 agents | tournament k=2 → 100 offspring,
1750359,GA,Gen 86 started | 100 founders | RL=true,
1761219,GA,Gen 86 -> starting Map 2/5,
1765774,GA,Gen 86 -> starting Map 3/5,
1767668,GA,Gen 86 -> starting Map 4/5,
1769055,GA,Gen 86 -> starting Map 5/5,
1769935,GA,Gen 85 | 316 agents | tournament k=2 → 100 offspring,
1769958,GA,Gen 87 started | 100 founders | RL=true,
1778516,GA,Gen 87 -> starting Map 2/5,
1782893,GA,Gen 87 -> starting Map 3/5,
1785114,GA,Gen 87 -> starting Map 4/5,
1786535,GA,Gen 87 -> starting Map 5/5,
1787844,GA,Gen 86 | 284 agents | tournament k=2 → 100 offspring,
1787868,GA,Gen 88 started | 100 founders | RL=true,
1800516,GA,Gen 88 -> starting Map 2/5,
1811018,GA,Gen 88 -> starting Map 3/5,
1816078,GA,Gen 88 -> starting Map 4/5,
1818693,GA,Gen 88 -> starting Map 5/5,
1819898,GA,Gen 87 | 542 agents | tournament k=2 → 100 offspring,
1819923,GA,Gen 89 started | 100 founders | RL=true,
1831687,GA,Gen 89 -> starting Map 2/5,
1837207,GA,Gen 89 -> starting Map 3/5,
1840014,GA,Gen 89 -> starting Map 4/5,
1841439,GA,Gen 89 -> starting Map 5/5,
1842559,GA,Gen 88 | 387 agents | tournament k=2 → 100 offspring,
1842581,GA,Gen 90 started | 100 founders | RL=true,
1851336,GA,Gen 90 -> starting Map 2/5,
1856024,GA,Gen 90 -> starting Map 3/5,
1858356,GA,Gen 90 -> starting Map 4/5,
1859723,GA,Gen 90 -> starting Map 5/5,
1861091,GA,Gen 89 | 282 agents | tournament k=2 → 100 offspring,
1861118,GA,Gen 91 started | 100 founders | RL=true,
1874847,GA,Gen 91 -> starting Map 2/5,
1887693,GA,Gen 91 -> starting Map 3/5,
1893488,GA,Gen 91 -> starting Map 4/5,
1896283,GA,Gen 91 -> starting Map 5/5,
1897588,GA,Gen 90 | 628 agents | tournament k=2 → 100 offspring,
1897610,GA,Gen 92 started | 100 founders | RL=true,
1909261,GA,Gen 92 -> starting Map 2/5,
1913423,GA,Gen 92 -> starting Map 3/5,
1914811,GA,Gen 92 -> starting Map 4/5,
1915823,GA,Gen 92 -> starting Map 5/5,
1916292,GA,Gen 91 | 299 agents | tournament k=2 → 100 offspring,
1916315,GA,Gen 93 started | 100 founders | RL=true,
1924666,GA,Gen 93 -> starting Map 2/5,
1932033,GA,Gen 93 -> starting Map 3/5,
1935857,GA,Gen 93 -> starting Map 4/5,
1936740,GA,Gen 93 -> starting Map 5/5,
1937261,GA,Gen 92 | 294 agents | tournament k=2 → 100 offspring,
1937287,GA,Gen 94 started | 100 founders | RL=true,
1950245,GA,Gen 94 -> starting Map 2/5,
1961620,GA,Gen 94 -> starting Map 3/5,
1968773,GA,Gen 94 -> starting Map 4/5,
1971680,GA,Gen 94 -> starting Map 5/5,
1972867,GA,Gen 93 | 605 agents | tournament k=2 → 100 offspring,
1972892,GA,Gen 95 started | 100 founders | RL=true,
1984900,GA,Gen 95 -> starting Map 2/5,
1989324,GA,Gen 95 -> starting Map 3/5,
1990712,GA,Gen 95 -> starting Map 4/5,
1991976,GA,Gen 95 -> starting Map 5/5,
1992446,GA,Gen 94 | 306 agents | tournament k=2 → 100 offspring,
1992475,GA,Gen 96 started | 100 founders | RL=true,
2001050,GA,Gen 96 -> starting Map 2/5,
