seed,rep,run,n_gens,avg_fitness,top20percent_fitness,best_fitness,total_agents,peak_population,genome_variance,avg_lifetime,avg_energy_end,avg_learned_weight_diff,avg_network_weight_mag,inter_gen_weight_change
2007,6,base_w500_evolution_h128_seed2007_r6,1000,7.4972379999999985,20.885088,62.1694,1399.38,600.76,0.0476365,2077.314,4.38202,0.0,0.60804,1.242e-05
2007,7,base_w500_evolution_h128_seed2007_r7,1000,7.505492000000001,20.922394,61.8452,1378.34,586.4,0.04949542,2063.0460000000003,3.9076199999999996,0.0,0.611254,2.2720000000000006e-05
2007,8,base_w500_evolution_h128_seed2007_r8,1000,7.46317,21.201296000000003,64.2184,1411.72,600.76,0.0481118,2063.724,4.01004,0.0,0.6133279999999999,-1.4700000000000002e-05
2007,9,base_w500_evolution_h128_seed2007_r9,1000,7.496222,20.815773999999998,62.604800000000004,1396.04,602.7,0.046682959999999996,2063.442,3.8398000000000003,0.0,0.6104980000000001,8.88e-06
2007,10,base_w500_evolution_h128_seed2007_r10,1000,7.481683999999999,20.869829999999997,59.3252,1400.54,599.04,0.04768964,2065.48,4.46612,0.0,0.610274,-2.1580000000000003e-05
2008,1,base_w500_evolution_h128_seed2008_r1,1000,7.477838,21.078906000000003,62.31760000000001,1350.02,569.38,0.04721162,2043.504,3.7922800000000008,0.0,0.610098,-3.096e-05
2008,2,base_w500_evolution_h128_seed2008_r2,1000,7.487612000000001,21.044736000000004,58.7772,1385.5,592.82,0.04858196000000001,2052.374,4.0939000000000005,0.0,0.6120639999999999,3.218000000000001e-05
2008,3,base_w500_evolution_h128_seed2008_r3,1000,7.466396000000002,21.032497999999997,61.846399999999996,1392.9,604.88,0.04846998,2064.1739999999995,4.07012,0.0,0.612096,-1.200000000000005e-06
2008,4,base_w500_evolution_h128_seed2008_r4,1000,7.552919999999999,21.098328000000002,61.56580000000001,1370.6,589.2,0.048557239999999995,2068.9600000000005,4.10896,0.0,0.6103879999999999,-2.8160000000000008e-05
2008,5,base_w500_evolution_h128_seed2008_r5,1000,7.478268000000001,21.11593,64.2476,1370.02,591.46,0.04532884,2078.32,3.9716199999999997,0.0,0.610776,5.2860000000000006e-05
2008,6,base_w500_evolution_h128_seed2008_r6,1000,7.478257999999999,20.976756,62.1614,1389.78,605.92,0.04760916,2059.49,3.715,0.0,0.612436,5.497999999999998e-05
2008,7,base_w500_evolution_h128_seed2008_r7,1000,7.538522,20.868166000000002,62.07580000000001,1357.36,585.06,0.04904794,2061.436,3.7599600000000004,0.0,0.6118199999999999,7.466e-05
2008,8,base_w500_evolution_h128_seed2008_r8,1000,7.4630279999999996,21.010157999999997,61.6594,1393.18,609.36,0.0486956,2089.136,5.067159999999999,0.0,0.607952,-1.4660000000000004e-05
2008,9,base_w500_evolution_h128_seed2008_r9,1000,7.547808,20.925534000000003,58.920199999999994,1378.26,594.9,0.04849942,2072.3,4.1986,0.0,0.611,-6.560000000000007e-06
2008,10,base_w500_evolution_h128_seed2008_r10,1000,7.476486000000001,21.063018000000003,62.7496,1372.44,600.0,0.04626198000000001,2068.4339999999997,3.9035200000000003,0.0,0.610622,-4.096e-05
2009,1,base_w500_evolution_h128_seed2009_r1,1000,7.433679999999999,21.082583999999997,61.8974,1376.46,591.34,0.04829561999999999,2062.162,3.71226,0.0,0.606262,-1.9999999999999618e-07
2009,2,base_w500_evolution_h128_seed2009_r2,1000,7.488980000000001,20.974612,60.97959999999999,1362.9,587.24,0.0492944,2082.692,4.23974,0.0,0.6094719999999999,2.5560000000000006e-05
2009,3,base_w500_evolution_h128_seed2009_r3,1000,7.519036000000001,21.165072,61.43460000000001,1348.84,579.66,0.0499502,2072.2780000000002,3.771820000000001,0.0,0.610492,-4.2579999999999996e-05
2009,4,base_w500_evolution_h128_seed2009_r4,1000,7.483787999999999,21.318506,63.508199999999995,1367.68,587.72,0.04831908,2082.93,4.38842,0.0,0.6098859999999999,-5.5540000000000014e-05
2009,5,base_w500_evolution_h128_seed2009_r5,1000,7.422927999999998,21.134564,63.4096,1383.76,592.7,0.05149132,2060.4339999999997,3.9396199999999997,0.0,0.610592,2.2759999999999992e-05
2009,6,base_w500_evolution_h128_seed2009_r6,1000,7.429328000000001,20.953015999999998,62.1616,1372.8,587.84,0.04903042,2069.726,4.10096,0.0,0.608326,-2.439999999999992e-06
2009,7,base_w500_evolution_h128_seed2009_r7,1000,7.421642,20.694506,57.979400000000005,1368.68,582.86,0.04878236,2056.4919999999997,3.9833,0.0,0.6047479999999998,-3.800000000000076e-07
2009,8,base_w500_evolution_h128_seed2009_r8,1000,7.423422,20.894132,60.937599999999996,1363.6,586.86,0.048781120000000004,2056.844,3.8579000000000003,0.0,0.61116,-1.088e-05
2009,9,base_w500_evolution_h128_seed2009_r9,1000,7.468514,21.023584,57.7966,1363.86,589.58,0.04772545999999999,2083.348,4.42608,0.0,0.60724,3.920000000000003e-06
2009,10,base_w500_evolution_h128_seed2009_r10,1000,7.4968639999999995,21.150609999999997,61.9174,1363.46,580.22,0.047590099999999996,2047.2920000000001,3.5456,0.0,0.609674,-1.1920000000000001e-05
2010,1,base_w500_evolution_h128_seed2010_r1,1000,7.517127999999999,21.065638,62.398799999999994,1380.4,591.46,0.05023184000000001,2063.9339999999997,3.5435199999999996,0.0,0.608464,-7.519999999999997e-06
2010,2,base_w500_evolution_h128_seed2010_r2,1000,7.479954,21.02933,60.546800000000005,1376.14,593.02,0.04907039999999999,2069.25,3.6138999999999997,0.0,0.612158,2.244e-05
2010,3,base_w500_evolution_h128_seed2010_r3,1000,7.4625259999999995,20.920389999999998,61.40699999999999,1389.52,602.34,0.05150424,2057.304,3.560400000000001,0.0,0.611724,8.629999999999998e-05
2010,4,base_w500_evolution_h128_seed2010_r4,1000,7.5114459999999985,21.138685999999996,61.5276,1383.84,593.86,0.04884009999999999,2054.55,3.48804,0.0,0.609764,-5.40000000000005e-07
2010,5,base_w500_evolution_h128_seed2010_r5,1000,7.541976000000001,21.360234000000005,62.85880000000001,1390.12,601.24,0.04956162000000001,2080.7659999999996,3.89762,0.0,0.609044,-2.219999999999997e-06
2010,6,base_w500_evolution_h128_seed2010_r6,1000,7.451396000000001,21.086344000000004,65.5352,1388.34,601.58,0.04901168,2065.156,3.34736,0.0,0.6100140000000001,5.2960000000000015e-05
2010,7,base_w500_evolution_h128_seed2010_r7,1000,7.422608,20.96703,61.05619999999999,1399.42,611.3,0.04965928,2058.842,3.5571,0.0,0.609936,-4.6140000000000016e-05
2010,8,base_w500_evolution_h128_seed2010_r8,1000,7.534876000000001,21.14704,62.6612,1387.02,601.66,0.047749059999999996,2069.232,3.63848,0.0,0.61,8.620000000000012e-06
2010,9,base_w500_evolution_h128_seed2010_r9,1000,7.445725999999999,20.969206,60.38719999999999,1394.86,605.38,0.047537380000000004,2061.072,3.3150999999999997,0.0,0.610828,2.2919999999999997e-05
2010,10,base_w500_evolution_h128_seed2010_r10,1000,7.414256000000002,20.952216000000004,61.44799999999999,1399.52,610.0,0.047659,2072.9539999999997,3.6462,0.0,0.6091059999999999,1.481999999999999e-05
