id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p7_17_r4_off,0,4,2000,6.130300,5.964009,100,1999.40,5.2000,0.0000,0.0000,96,4,0,0
p7_18_r4_off,0,4,2000,6.005500,5.855419,100,1999.90,5.8500,0.0000,0.0000,98,2,0,0
p7_19_r4_off,0,4,2000,5.845200,5.779094,100,1999.30,5.7300,0.0000,0.0000,99,1,0,0
p7_20_r4_off,0,4,2000,5.330000,5.240153,100,1999.00,5.3200,0.0000,0.0000,96,4,0,0
p7_21_r4_off,0,4,2000,5.425000,5.570030,100,2000.00,5.6800,0.0000,0.0000,100,0,0,0
p7_22_r4_off,0,4,2000,5.244300,5.139672,100,1999.90,4.9600,0.0000,0.0000,99,1,0,0
p7_23_r4_off,0,4,2000,4.649500,5.038008,100,2000.00,4.3600,0.0000,0.0000,100,0,0,0
p7_24_r4_off,0,4,2000,4.404200,4.825949,100,1999.80,4.5900,0.0000,0.0000,98,2,0,0
p8_0_r4_off,0,4,2000,5.579500,4.241003,100,1999.40,2.2400,0.0000,0.0000,99,1,0,0
p8_1_r4_off,0,4,2000,5.640500,4.300790,100,1999.50,2.4600,0.0000,0.0000,98,2,0,0
p8_2_r4_off,0,4,2000,5.960300,4.483080,100,2000.00,2.2300,0.0000,0.0000,100,0,0,0
p8_3_r4_off,0,4,2000,5.960300,5.103110,100,1999.10,3.3800,0.0000,0.0000,98,2,0,0
p8_4_r4_off,0,4,2000,6.189700,5.075187,100,2000.00,3.6000,0.0000,0.0000,100,0,0,0
p8_5_r4_off,0,4,2000,6.140100,4.977955,100,1999.10,4.9800,0.0000,0.0000,99,1,0,0
p8_6_r4_off,0,4,2000,6.010600,4.879893,100,1999.70,4.1100,0.0000,0.0000,99,1,0,0
p8_7_r4_off,0,4,2000,5.889800,4.846047,100,1999.40,4.7200,0.0000,0.0000,97,3,0,0
p8_8_r4_off,0,4,2000,6.145000,5.640943,100,1999.60,4.6300,0.0000,0.0000,98,2,0,0
p8_9_r4_off,0,4,2000,6.235800,5.114775,100,1999.60,3.1700,0.0000,0.0000,99,1,0,0
p8_10_r4_off,0,4,2000,6.281200,5.311548,100,1999.70,4.9300,0.0000,0.0000,99,1,0,0
p8_11_r4_off,0,4,2000,6.411100,5.387859,100,2000.00,6.1300,0.0000,0.0000,100,0,0,0
p8_12_r4_off,0,4,2000,6.310600,5.083160,100,1997.40,4.9200,0.0000,0.0000,95,5,0,0
p8_13_r4_off,0,4,2000,6.170100,5.783892,100,1999.60,5.1700,0.0000,0.0000,98,2,0,0
p8_14_r4_off,0,4,2000,5.965700,5.415802,100,1999.80,5.5200,0.0000,0.0000,98,2,0,0
p8_15_r4_off,0,4,2000,5.755700,5.349690,100,1999.80,6.6100,0.0000,0.0000,98,2,0,0
p8_16_r4_off,0,4,2000,5.644900,5.165391,100,2000.00,6.4800,0.0000,0.0000,97,3,0,0
p8_17_r4_off,0,4,2000,5.680000,5.383906,100,1999.30,6.0200,0.0000,0.0000,99,1,0,0
p8_18_r4_off,0,4,2000,5.484800,4.932894,100,1999.90,6.8100,0.0000,0.0000,98,2,0,0
p8_19_r4_off,0,4,2000,5.180300,4.994626,100,1998.40,5.7400,0.0000,0.0000,98,2,0,0
p8_20_r4_off,0,4,2000,4.959900,5.197229,100,1999.90,5.9700,0.0000,0.0000,99,1,0,0
p8_21_r4_off,0,4,2000,4.814300,4.880848,100,2000.00,5.1800,0.0000,0.0000,100,0,0,0
p8_22_r4_off,0,4,2000,4.624200,4.275225,100,1999.00,4.5000,0.0000,0.0000,98,2,0,0
p8_23_r4_off,0,4,2000,4.448500,4.635476,100,2000.00,4.1800,0.0000,0.0000,98,2,0,0
p8_24_r4_off,0,4,2000,4.458400,4.851020,100,2000.00,3.8700,0.0000,0.0000,100,0,0,0
p9_0_r4_off,0,4,2000,4.990000,4.172703,100,2000.00,4.5500,0.0000,0.0000,98,2,0,0
