id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p22_3_r2_on,1,2,2000,5.599800,6.262799,100,1003.59,0.0100,27.7100,9.6400,4,8,88,0
p22_4_r2_on,1,2,2000,6.849700,6.999498,100,852.26,0.0400,30.3800,10.0500,1,7,92,0
p22_5_r2_on,1,2,2000,6.484200,6.495151,100,664.97,0.0400,34.0800,12.5300,0,5,95,0
p22_6_r2_on,1,2,2000,6.609500,7.047638,100,857.35,0.0300,29.6700,9.8000,0,4,96,0
p22_7_r2_on,1,2,2000,7.074900,7.466315,100,818.95,0.0500,32.2000,12.3800,0,7,93,0
p22_8_r2_on,1,2,2000,6.894500,7.037785,100,1020.91,0.0100,25.7400,9.9500,11,5,84,0
p22_9_r2_on,1,2,2000,7.279400,7.342214,100,846.09,0.0500,30.9100,12.1900,0,8,92,0
p22_10_r2_on,1,2,2000,7.639500,7.268645,100,786.35,0.0300,31.5500,12.5800,1,8,91,0
p22_11_r2_on,1,2,2000,7.364200,6.605258,100,817.00,0.0100,31.5600,12.2400,0,13,87,0
p22_12_r2_on,1,2,2000,7.614500,7.377001,100,803.89,0.1300,32.3900,13.5900,0,7,93,0
p22_13_r2_on,1,2,2000,7.569600,7.535608,100,758.46,0.0400,31.8600,11.9100,0,1,99,0
p22_14_r2_on,1,2,2000,7.989600,7.500025,100,750.76,0.0500,32.7600,10.6000,0,7,93,0
p22_15_r2_on,1,2,2000,7.929400,7.026904,100,953.07,0.0700,28.4800,10.5500,2,12,86,0
p22_16_r2_on,1,2,2000,7.609400,7.420032,100,1067.93,0.0700,25.9400,9.8600,11,12,77,0
p22_17_r2_on,1,2,2000,7.649600,7.360814,100,789.73,0.0800,30.3800,9.9900,0,4,96,0
p22_18_r2_on,1,2,2000,8.004800,6.583412,100,757.66,0.0900,32.4600,10.7900,0,4,96,0
p22_19_r2_on,1,2,2000,7.889500,6.520509,100,724.30,0.0900,33.3400,12.2600,0,6,94,0
p22_20_r2_on,1,2,2000,7.639500,7.335855,100,816.83,0.0600,31.6200,11.9000,1,8,91,0
p22_21_r2_on,1,2,2000,7.304400,7.137282,100,874.81,0.0700,30.8500,12.1200,0,15,85,0
p22_22_r2_on,1,2,2000,7.585200,6.499814,100,1105.22,0.0700,24.0300,10.0100,3,10,87,0
p22_23_r2_on,1,2,2000,7.494600,7.212302,100,867.98,0.0900,30.3900,12.2800,0,12,88,0
p22_24_r2_on,1,2,2000,7.449800,6.706638,100,877.61,0.1000,30.1200,11.1200,0,7,93,0
